Current generation: 0 Number of solutions: 1000 Number of species: 1 Number of active species: 1 Has fitness improved: no Number of generations without improvement: 0 Average fitness: 0.282045 Best fitness: 0.477143 Innovation number: 0 Average genome size: 2.000000 Average connection genes: 0.000000 Average field genes: 2.000000 Best solution: [solution 249 [ fit.: 0.477143, part.: (0.916099, 0.475206, 0.998142, 0.000000, 0.474829, ), spec.: 0, adj.fit.: 0.000477, age: 0, parents (0, 0), genome ( 2 field genes, 0 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {}, last mutations{}]]
Current generation: 1 Number of solutions: 1000 Number of species: 3 Number of active species: 3 Has fitness improved: no Number of generations without improvement: 1 Average fitness: 0.357737 Best fitness: 0.732902 Innovation number: 0 Average genome size: 2.145000 Average connection genes: 0.145000 Average field genes: 2.000000 Best solution: [solution 1864 [ fit.: 0.732902, part.: (0.959357, 0.927597, 0.997280, 0.200000, 0.969433, ), spec.: 0, adj.fit.: 0.000735, age: 0, parents (216, 63), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{[fg 1 (mhk to gk)] [fg 2 (gk to mhk)] (added cg 1-2 innov.0) (mutated)}]]
Current generation: 119 Number of solutions: 1000 Number of species: 333 Number of active species: 11 Has fitness improved: no Number of generations without improvement: 9 Average fitness: 0.612569 Best fitness: 0.746240 Innovation number: 111 Average genome size: 3.003000 Average connection genes: 1.002000 Average field genes: 2.001000 Best solution: [solution 114804 [ fit.: 0.746240, part.: (0.999848, 0.933374, 0.997738, 0.200000, 0.999638, ), spec.: 197, adj.fit.: 0.001097, age: 4, parents (113623, 113784), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 120 Number of solutions: 1000 Number of species: 333 Number of active species: 8 Has fitness improved: no Number of generations without improvement: 0 Average fitness: 0.661362 Best fitness: 0.746250 Innovation number: 111 Average genome size: 3.000000 Average connection genes: 1.000000 Average field genes: 2.000000 Best solution: [solution 120395 [ fit.: 0.746250, part.: (0.999877, 0.933261, 0.998268, 0.200000, 0.999383, ), spec.: 197, adj.fit.: 0.001300, age: 0, parents (117956, 117956), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{[cg 1-2 ]  (mutated)}]]
Current generation: 121 Number of solutions: 1000 Number of species: 335 Number of active species: 7 Has fitness improved: no Number of generations without improvement: 1 Average fitness: 0.630832 Best fitness: 0.746285 Innovation number: 113 Average genome size: 3.003000 Average connection genes: 1.002000 Average field genes: 2.001000 Best solution: [solution 121348 [ fit.: 0.746285, part.: (0.999663, 0.933378, 0.998179, 0.200000, 0.999667, ), spec.: 197, adj.fit.: 0.001229, age: 0, parents (120253, 120316), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{[cg 1-2 (cg gk width -0.500000)(cg gk amp.-0.500000)(cg gk amp. glob.-0.050000)]  (mutated)}]]
Current generation: 122 Number of solutions: 1000 Number of species: 336 Number of active species: 8 Has fitness improved: no Number of generations without improvement: 2 Average fitness: 0.633707 Best fitness: 0.746210 Innovation number: 113 Average genome size: 3.000000 Average connection genes: 1.000000 Average field genes: 2.000000 Best solution: [solution 122471 [ fit.: 0.746210, part.: (0.999916, 0.933350, 0.997266, 0.200000, 0.999815, ), spec.: 197, adj.fit.: 0.001166, age: 0, parents (121311, 121268), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{[fg 2 (fg mhk amp. exc. -0.500000)(fg mhk width exc. -0.500000)]  (mutated)}]]
Current generation: 123 Number of solutions: 1000 Number of species: 339 Number of active species: 11 Has fitness improved: no Number of generations without improvement: 3 Average fitness: 0.628593 Best fitness: 0.746267 Innovation number: 115 Average genome size: 3.003000 Average connection genes: 1.002000 Average field genes: 2.001000 Best solution: [solution 122471 [ fit.: 0.746267, part.: (0.999846, 0.933351, 0.997729, 0.200000, 0.999801, ), spec.: 249, adj.fit.: 0.008578, age: 1, parents (121311, 121268), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 124 Number of solutions: 1000 Number of species: 342 Number of active species: 14 Has fitness improved: no Number of generations without improvement: 4 Average fitness: 0.618647 Best fitness: 0.746335 Innovation number: 117 Average genome size: 3.168000 Average connection genes: 1.112000 Average field genes: 2.056000 Best solution: [solution 122471 [ fit.: 0.746335, part.: (0.999910, 0.933358, 0.998090, 0.200000, 0.999815, ), spec.: 197, adj.fit.: 0.001068, age: 2, parents (121311, 121268), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 125 Number of solutions: 1000 Number of species: 347 Number of active species: 13 Has fitness improved: no Number of generations without improvement: 5 Average fitness: 0.543216 Best fitness: 0.746323 Innovation number: 117 Average genome size: 3.879000 Average connection genes: 1.586000 Average field genes: 2.293000 Best solution: [solution 122471 [ fit.: 0.746323, part.: (0.999829, 0.933357, 0.998069, 0.200000, 0.999833, ), spec.: 197, adj.fit.: 0.001615, age: 3, parents (121311, 121268), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 126 Number of solutions: 1000 Number of species: 353 Number of active species: 19 Has fitness improved: no Number of generations without improvement: 6 Average fitness: 0.536450 Best fitness: 0.746261 Innovation number: 117 Average genome size: 4.164000 Average connection genes: 1.776000 Average field genes: 2.388000 Best solution: [solution 122471 [ fit.: 0.746261, part.: (0.999841, 0.933351, 0.997683, 0.200000, 0.999808, ), spec.: 197, adj.fit.: 0.001829, age: 4, parents (121311, 121268), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 127 Number of solutions: 1000 Number of species: 359 Number of active species: 24 Has fitness improved: no Number of generations without improvement: 7 Average fitness: 0.524281 Best fitness: 0.746128 Innovation number: 117 Average genome size: 4.623000 Average connection genes: 2.082000 Average field genes: 2.541000 Best solution: [solution 122471 [ fit.: 0.746128, part.: (0.999770, 0.933350, 0.996815, 0.200000, 0.999851, ), spec.: 92, adj.fit.: 0.013090, age: 5, parents (121311, 121268), genome ( 2 field genes, 1 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), } connection genes {cg (1-2, innov: 0, enabled: true), }, last mutations{}]]
Current generation: 128 Number of solutions: 1000 Number of species: 362 Number of active species: 26 Has fitness improved: no Number of generations without improvement: 8 Average fitness: 0.509894 Best fitness: 0.799062 Innovation number: 117 Average genome size: 4.812000 Average connection genes: 2.208000 Average field genes: 2.604000 Best solution: [solution 128255 [ fit.: 0.799062, part.: (0.975843, 0.910448, 0.998031, 0.460744, 0.913339, ), spec.: 197, adj.fit.: 0.002794, age: 0, parents (127116, 126720), genome ( 3 field genes, 3 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), fg (id: 3, type: HIDDEN), } connection genes {cg (1-2, innov: 0, enabled: true), cg (1-3, innov: 114, enabled: true), cg (3-2, innov: 115, enabled: true), }, last mutations{[cg 1-2 (cg to excitatory)] [cg 3-2 (cg to gk)]  (mutated)}]]
Current generation: 129 Number of solutions: 1000 Number of species: 368 Number of active species: 27 Has fitness improved: no Number of generations without improvement: 9 Average fitness: 0.468555 Best fitness: 0.799077 Innovation number: 117 Average genome size: 4.878000 Average connection genes: 2.252000 Average field genes: 2.626000 Best solution: [solution 128255 [ fit.: 0.799077, part.: (0.975842, 0.910447, 0.998138, 0.460742, 0.913339, ), spec.: 92, adj.fit.: 0.009988, age: 1, parents (127116, 126720), genome ( 3 field genes, 3 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), fg (id: 3, type: HIDDEN), } connection genes {cg (1-2, innov: 0, enabled: true), cg (1-3, innov: 114, enabled: true), cg (3-2, innov: 115, enabled: true), }, last mutations{}]]
Current generation: 130 Number of solutions: 1000 Number of species: 370 Number of active species: 29 Has fitness improved: no Number of generations without improvement: 0 Average fitness: 0.542271 Best fitness: 0.978699 Innovation number: 119 Average genome size: 4.563000 Average connection genes: 2.042000 Average field genes: 2.521000 Best solution: [solution 129995 [ fit.: 0.978699, part.: (0.975849, 0.991942, 0.998126, 0.992631, 0.932125, ), spec.: 92, adj.fit.: 0.003262, age: 0, parents (128255, 128593), genome ( 3 field genes, 3 connection genes ) field genes {fg (id: 1, type: INPUT), fg (id: 2, type: OUTPUT), fg (id: 3, type: HIDDEN), } connection genes {cg (1-2, innov: 0, enabled: true), cg (1-3, innov: 114, enabled: true), cg (3-2, innov: 115, enabled: true), }, last mutations{[fg 2 (fg mhk amp. exc. -0.500000)(fg mhk width exc. -0.500000)(fg mhk amp. inh. -0.500000)] [fg 3 (fg gk amp.0.500000)] [cg 1-2 (cg gk width -0.500000)(cg gk amp.-0.500000)] [cg 3-2 (cg gk amp.-0.500000)(cg gk amp. glob.-0.050000)]  (mutated)}]]
